source_dbs,source_ids,doi,pmid,title,year,publication_date,work_type,venue,cited_by_count,url,query_tasks,matched_tasks,included,exclusion_reason,class_code,class_en,class_zh,primary_task,task_en,task_zh,evidence_tier,abstract
OpenAlex; Europe PMC,W1918844554; MED:24642160,10.1590/s1677-5538.ibju.2014.01.19,24642160,Robotic nephrolithotomy and pyelolithotomy with utilization of the robotic ultrasound probe,2014,2014-01-01,article,International braz j urol,26,https://doi.org/10.1590/s1677-5538.ibju.2014.01.19,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Introduction</h4>The treatment of large renal stones in children can be challenging often requiring combination therapy and multiple procedures. The purpose of this video is to describe our technique of robotic nephrolithotomy and pyelolithotomy for complex renal stone disease in children, and to demonstrate the utility of the robotic ultrasound probe to aid with stone localization.<h4>Materials and methods</h4>Robotic nephrolithotomy/pyelolithotomy was carried out in four consecutive patients. A robotic ultrasound probe (Hitachi-Aloka, Tokyo, Japan) under console surgeon control was used in all cases.<h4>Results</h4>Two patients underwent robotic pyelolithotomy, one patient underwent robotic nephrolithotomy, whilst the fourth patient underwent robotic pyelolithotomy and nephrolithotomy along with Y-V pyeloplasty for concurrent ureteropelvic junction obstruction. Mean operative time, blood loss and hospital stay was 216 minutes, 37.5 mL and 2 days, respectively. The robotic ultrasound probe aided identification of calculi within the kidney in all cases. For nephroli¬thotomy it was helpful in planning the incision for nephrotomy. After nephrotomy or pyelotomy, stones were removed using a combination of robotic Maryland forceps, fenestrated grasper or Prograsp. Antegrade nephroscopy introduced through a laparoscopic port was used in all patients for confirmation of residual stone status. Two patients did not require a ureteral stent in the post-operative period. One patient had a minor complication (Clavien Grade 2 - dislodged malecot catheter). All patients were stone free at last follow-up.<h4>Conclusions</h4>Robotic nephrolithotomy and pyelolithotomy with utilization of the robotic ultrasound probe offers a one-stop solution for complex renal stones with excellent stone-free rates."
OpenAlex; Europe PMC,W3191221135; MED:34373973,10.1007/s11548-021-02462-6,34373973,Force-guided autonomous robotic ultrasound scanning control method for soft uncertain environment,2021,2021-08-09,article,International Journal of Computer Assisted Radiology and Surgery,35,https://doi.org/10.1007/s11548-021-02462-6,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose</h4>Autonomous ultrasound imaging by robotic ultrasound scanning systems in complex soft uncertain clinical environments is important and challenging to assist in therapy. To cope with the complex environment faced by the ultrasound probe during the scanning process, we propose an autonomous robotic ultrasound (US) control method based on reinforcement learning (RL) model to build the relationship between the environment and the system. The proposed method requires only contact force as input information to achieve robot control of the posture and contact force of the probe without any a priori information about the target and the environment.<h4>Methods</h4>First, an RL agent is proposed and trained by a policy gradient theorem-based RL model with the 6-degree-of-freedom (DOF) contact force of the US probe to learn the relationship between contact force and output force directly. Then, a force control strategy based on the admittance controller is proposed for synchronous force, orientation and position control by defining the desired contact force as the action space.<h4>Results</h4>The proposed method was evaluated via collected US images, contact force and scan trajectories by scanning an unknown soft phantom. The experimental results indicated that the proposed method differs from the free-hand scanned approach in the US images within 3 ± 0.4%. The analysis results of contact forces and trajectories indicated that our method could make stable scanning processes on a soft uncertain skin surface and obtained US images.<h4>Conclusion</h4>We propose a concise and efficient force-guided US robot scanning control method for soft uncertain environment based on reinforcement learning. Experimental results validated our method's feasibility and validity for complex skin surface scanning, and the volunteer experiments indicated the potential application value in the complex clinical environment of robotic US imaging system especially with limited visual information."
OpenAlex; Europe PMC,W2585532967; MED:28159435,10.1016/j.carj.2016.08.002,28159435,Initial Experience Using a Telerobotic Ultrasound System for Adult Abdominal Sonography,2017,2017-01-31,article,Canadian Association of Radiologists Journal,67,https://doi.org/10.1016/j.carj.2016.08.002,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Purpose</h4>The study sought to assess the feasibility of performing adult abdominal examinations using a telerobotic ultrasound system in which radiologists or sonographers can control fine movements of a transducer and all ultrasound settings from a remote location.<h4>Methods</h4>Eighteen patients prospectively underwent a conventional sonography examination (using EPIQ 5 [Philips] or LOGIQ E9 [GE Healthcare]) followed by a telerobotic sonography examination (using the MELODY System [AdEchoTech] and SonixTablet [BK Ultrasound]) according to a standardized abdominal imaging protocol. For telerobotic examinations, patients were scanned remotely by a sonographer 2.75 km away. Conventional examinations were read independently from telerobotic examinations. Image quality and acceptability to patients and sonographers was assessed.<h4>Results</h4>Ninety-two percent of organs visualized on conventional examinations were sufficiently visualized on telerobotic examinations. Five pathological findings were identified on both telerobotic and conventional examinations, 3 findings were identified using only conventional sonography, and 2 findings were identified using only telerobotic sonography. A paired sample t test showed no significant difference between the 2 modalities in measurements of the liver, spleen, and diameter of the proximal aorta; however, telerobotic assessments overestimated distal aorta and common bile duct diameters and underestimated kidney lengths (P values < .05). All patients responded that they would be willing to have another telerobotic examination.<h4>Conclusions</h4>A telerobotic ultrasound system is feasible for performing abdominal ultrasound examinations at a distant location with minimal training and setup requirements and a moderate learning curve. Telerobotic sonography (robotic telesonography) may open up the possibility of remote ultrasound clinics for communities that lack skilled sonographers and radiologists, thereby improving access to care."
OpenAlex; Europe PMC,MED:19145573; W2069830404,10.1002/rcs.232,19145573,Robotic ultrasound‐guided prostate intervention device: system description and results from phantom studies,2009,2009-01-14,article,International Journal of Medical Robotics and Computer Assisted Surgery,40,https://doi.org/10.1002/rcs.232,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Background</h4>We introduce the first robotic ultrasound-guided prostate intervention device and evaluate its safety, accuracy and repeatability.<h4>Methods</h4>The robotic positioning system (RPS) determines a target's x, y and z axes. It is situated with a biplane ultrasound probe on a mobile horizontal platform. The integrated software acquires ultrasound images for three-dimensional (3D) modelling, coordinates target planning and directs the RPS.<h4>Results</h4>The egg phantom evaluates the software's safety and workflow protocol. Two random targets are planned in each quadrant and biopsy needles are inserted. All were within three separate eggs. Metal wire tips are targeted and their distances from the biopsy needle tips are measured. With 20 wires, < 1 mm accuracy is obtained. Repeatability is demonstrated when previous positions are returned to with similar accuracy.<h4>Conclusion</h4>Our device demonstrates safety in a defined boundary with a repeatable accuracy of < 1 mm. It can be used for accurate prostate biopsy and treatment delivery."
OpenAlex; Europe PMC,MED:25540071; W1989849962,10.3109/13645706.2014.992908,25540071,Robot-assisted ultrasound imaging: Overview and development of a parallel telerobotic system,2014,2014-12-25,article,Minimally Invasive Therapy & Allied Technologies,59,https://doi.org/10.3109/13645706.2014.992908,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Ultrasound imaging is frequently used in medicine. The quality of ultrasound images is often dependent on the skill of the sonographer. Several researchers have proposed robotic systems to aid in ultrasound image acquisition. In this paper we first provide a short overview of robot-assisted ultrasound imaging (US). We categorize robot-assisted US imaging systems into three approaches: autonomous US imaging, teleoperated US imaging, and human-robot cooperation. For each approach several systems are introduced and briefly discussed. We then describe a compact six degree of freedom parallel mechanism telerobotic system for ultrasound imaging developed by our research team. The long-term goal of this work is to enable remote ultrasound scanning through teleoperation. This parallel mechanism allows for both translation and rotation of an ultrasound probe mounted on the top plate along with force control. Our experimental results confirmed good mechanical system performance with a positioning error of < 1 mm. Phantom experiments by a radiologist showed promising results with good image quality."
OpenAlex; Europe PMC,MED:32100177; W3007008599,10.1007/s11548-020-02122-1,32100177,Design of an end-effector for robot-assisted ultrasound-guided breast biopsies,2020,2020-02-25,article,International Journal of Computer Assisted Radiology and Surgery,55,https://doi.org/10.1007/s11548-020-02122-1,A1,S5,True,,S,Sample-based interactive diagnosis,采样式交互检测,S5,Robotic percutaneous core-needle biopsy,机器人经皮粗针活检,Core (title-explicit),"<h4>Purpose</h4>The biopsy procedure is an important phase in breast cancer diagnosis. Accurate breast imaging and precise needle placement are crucial in lesion targeting. This paper presents an end-effector (EE) for robotic 3D ultrasound (US) breast acquisitions and US-guided breast biopsies. The EE mechanically guides the needle to a specified target within the US plane. The needle is controlled in all degrees of freedom (DOFs) except for the direction of insertion, which is controlled by the radiologist. It determines the correct needle depth and stops the needle accordingly.<h4>Method</h4>In the envisioned procedure, a robotic arm performs localization of the breast, 3D US volume acquisition and reconstruction, target identification and needle guidance. Therefore, the EE is equipped with a stereo camera setup, a picobeamer, US probe holder, a three-DOF needle guide and a needle stop. The design was realized by prototyping techniques. Experiments were performed to determine needle placement accuracy in-air. The EE was placed on a seven-DOF robotic manipulator to determine the biopsy accuracy on a cuboid phantom.<h4>Results</h4>Needle placement accuracy was 0.3 ± 1.5 mm in and 0.1 ± 0.36 mm out of the US plane. Needle depth was regulated with an accuracy of 100 µm (maximum error 0.89 mm). The maximum holding force of the stop was approximately 6 N. The system reached a Euclidean distance error of 3.21 mm between the needle tip and the target and a normal distance of 3.03 mm between the needle trajectory and the target.<h4>Conclusion</h4>An all in one solution was presented which, attached to a robotic arm, assists the radiologist in breast cancer imaging and biopsy. It has a high needle placement accuracy, yet the radiologist is in control like in the conventional procedure."
OpenAlex; Europe PMC,W4306827115; MED:36648034,10.1016/j.jcmg.2022.07.018,36648034,Current Applications of Robot-Assisted Ultrasound Examination,2022,2022-10-19,article,JACC. Cardiovascular imaging,39,https://doi.org/10.1016/j.jcmg.2022.07.018,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Despite advances in miniaturization and automation, the need for expert acquisition of a full echocardiogram, including Doppler, has restricted access in remote areas. Recent developments in robotics, teleoperation, and upgraded telecommunications infrastructure may provide a solution to this deficiency. Robot-assisted teleoperated ultrasound examination can aid medical diagnosis in remote locations and may improve health inequalities between rural and urban settings. This review aimed to analyze the status of teleoperated robotic systems for ultrasound examinations, evaluate clinical and preclinical applications, identify limitations, and outline future directions for clinical use. Overall, robot-assisted teleoperated ultrasound is feasible and safe in the reported clinical and preclinical studies, with the robots able to follow the hand movements performed by sonographers and researchers from a distance or in local networks. Moreover, multiple types of ultrasound examinations have been performed in remote areas, with a high success rate nearly comparable to that of conventional sonography. The studies showed that although a low-bandwidth link can be used to control a robot, the bandwidth requirements for real-time transmission of video and ultrasound images are significantly higher. Furthermore, if haptic feedback is implemented, the bandwidth requirements are increased. Haptically enabled systems that improve robotic control are necessary for accelerating the introduction to clinical use. Haptic feedback and enhanced front-end interface control for remote users are vital aspects required for clinical application. The incorporation of artificial intelligence through either aiding in window acquisition (knowledge of anatomical landmarks to adjust scanning planes) or through measurement and disease identification is yet to be researched. However, it has the potential to lead to dramatic advances. A new generation of robots is in development, and several projects in the preclinical stage reveal a promising future to overcome the shortage of health professionals in remote areas."
OpenAlex,W4292793935,10.1109/tim.2022.3200360,,Precise Repositioning of Robotic Ultrasound: Improving Registration-Based Motion Compensation Using Ultrasound Confidence Optimization,2022,2022-01-01,article,IEEE Transactions on Instrumentation and Measurement,40,https://doi.org/10.1109/tim.2022.3200360,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Robotic ultrasound (US) imaging has been seen as a promising solution to overcome the limitations of free-hand US examinations, i.e., interoperator variability. However, the fact that robotic US systems (RUSSs) cannot react to subject movements during scans limits their clinical acceptance. Regarding human sonographers, they often react to patient movements by repositioning the probe or even restarting the acquisition, in particular for the scans of anatomies with long structures like limb arteries. To realize this characteristic, we proposed a vision-based system to monitor the subject’s movement and automatically update the scan trajectory thus seamlessly obtaining a complete 3-D image of the target anatomy. The motion monitoring module is developed using the segmented object masks from RGB images. Once the subject is moved, the robot will stop and recompute a suitable trajectory by registering the surface point clouds of the object obtained before and after the movement using the iterative closest point (ICP) algorithm. Afterward, to ensure optimal contact conditions after repositioning US probe, a confidence-based fine-tuning process is used to avoid potential gaps between the probe and contact surface. Finally, the whole system is validated on a human-like arm phantom with an uneven surface, while the object segmentation network is also validated on volunteers. The results demonstrate that the presented system can react to object movements and reliably provide accurate 3-D images."
OpenAlex,W3213118596; W3209068503,10.1109/tmrb.2021.3127015,,Image-Guided Navigation of a Robotic Ultrasound Probe for Autonomous Spinal Sonography Using a Shadow-aware Dual-Agent Framework,2021,2021-11-03,preprint,arXiv (Cornell University),45,https://doi.org/10.1109/tmrb.2021.3127015,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Ultrasound (US) imaging is commonly used to assist in the diagnosis and interventions of spine diseases, while the standardized US acquisitions performed by manually operating the probe require substantial experience and training of sonographers. In this work, we propose a novel dual-agent framework that integrates a reinforcement learning (RL) agent and a deep learning (DL) agent to jointly determine the movement of the US probe based on the real-time US images, in order to mimic the decision-making process of an expert sonographer to achieve autonomous standard view acquisitions in spinal sonography. Moreover, inspired by the nature of US propagation and the characteristics of the spinal anatomy, we introduce a view-specific acoustic shadow reward to utilize the shadow information to implicitly guide the navigation of the probe toward different standard views of the spine. Our method is validated in both quantitative and qualitative experiments in a simulation environment built with US data acquired from 17 volunteers. The average navigation accuracy toward different standard views achieves 5.18mm/5.25deg and 12.87mm/17.49deg in the intra- and inter-subject settings, respectively. The results demonstrate that our method can effectively interpret the US images and navigate the probe to acquire multiple standard views of the spine."
OpenAlex; Europe PMC,MED:30777939; W2914948143,10.4103/eus.eus_69_18,30777939,Robotic ultrasound and ultrasonic robot,2019,2019-01-01,article,Endoscopic Ultrasound,13,https://doi.org/10.4103/eus.eus_69_18,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"The application of robots in the diagnosis and treatment of diseases is gradually increasing every year. Among them, the number of surgeries performed using the da Vinci Robotic Surgical System is growing at 15% per year, which is not due to the increase in the total number of surgeries performed worldwide, but due to the fact that some conventional surgical procedures have turned to robotic surgery, indicating that the da Vinci robot has its own attractiveness. The da Vinci Robotic Surgical System is an advanced robotic platform designed to perform complex surgical procedures through a minimally invasive approach. Simply put, It is an advanced laparoscopic system. It increases the angle of view, reduces hand tremor and allows surgical procedures to be performed on target organs at different angles due to its “EndoWrist” instrument that is more flexible than the laparoscope. It is smaller than the human hand and can perform surgeries in narrow spaces. The da Vinci surgical robot enables surgeons to perform surgeries in a relaxed work environment, thus reducing fatigue and allowing surgeons to focus better. Moreover, it also reduces the number of participating surgeons.[12345] Meanwhile, the application of robots in the diagnosis of diseases has also been reported in previous studies. The da Vinci surgical robot improves the surgical accuracy by increasing the surgical resolution. Similarly, the diagnostic robot also improves the objectivity and accuracy of diagnosis by avoiding interference due to subjective factors. Ultrasonography offers many advantages for medical imaging; however, a lack of trained sonographers in remote communities limits access to sonography for many patients. As a result, many patients have to travel, or be transported, to secondary and tertiary care centers, which often delay diagnosis and subsequent treatment, burden patients and their families, and increase costs. The study conducted by Adams et al.[6] who used a telerobotic ultrasound system (BK Ultrasound) for adult abdominal sonography showed that 92% of organs visualized on conventional examinations were sufficiently visualized on telerobotic examinations. Five pathological findings were identified on both telerobotic and conventional examinations: three findings were identified using only conventional sonography and two findings were identified using only telerobotic sonography. There is no significant difference between the two modalities in measurements of the liver, spleen, and diameter of the proximal aorta; however, telerobotic assessments overestimated the distal aorta, common bile duct diameters and underestimated kidney lengths (P < 0.05). Robotic enucleations can also be performed through a 12-5 MHz robotic probe (BK Drop-In 8826). In the study of Gunelli et al.,[7] 22 robotic enucleations on <3 cm renal tumor were performed through a robotic probe. Once the kidney had been isolated from the adipose capsule at the site of the neoplasia, the exact position of the lesion could be easily identified. No complications due to the use of the ultrasound probe were observed. EUS is a combination of endoscopy and ultrasonography. It was initially used in the diagnosis of gastrointestinal submucosal tumor, gastrointestinal tumor, and pancreaticobiliary disease. In recent years, EUS is increasingly used in the preoperative precision diagnosis and treatment alongside the continuous upgrading of endoscopic instruments. Its importance is self-evident as preoperative precision diagnosis and pathological evaluation often provide clinical guidance to physicians in developing a reasonable treatment regimen. Fine-needle aspiration (FNA) for mediastinal, abdominal, and pancreatic lesions allows minimally invasive preoperative pathological diagnoses, but it poses certain difficulties as the material quality and incidence rates of complications, such as hemorrhage and infections, are affected by the experience and proficiency of endoscopists. Different tissues have different hardness, and therefore, the puncture strength is also different. To select the puncture strength is hard for beginners. EUS-guided treatments, including pancreatic pseudocysts drainage, chemoradiotherapy for advanced pancreatic cancer, biliary drainage for malignant biliary obstruction, as well as more advanced treatments, such as EUS-guided transduodenal gallbladder drainage and gallbladder-preserving cholecystolithotomy and gastrointestinal anastomosis, require experienced and highly skilled endoscopists, as well as precise operation, which greatly limit the development of these minimally invasive therapeutic approaches. Therefore, it is necessary to develop an artificial intelligence-assisted EUS surgical robot. The EUS surgical robot enables intelligent, accurate, and efficient diagnoses and treatment of gastrointestinal diseases. Besides, it has also overcome technical issues faced with virtual reality-assisted interventional endoscopic navigation and high-precision ejection device. This technology will further reduce the incidence rate of complications as it will greatly improve the technical success rate and safety of FNA through precise observation of the anatomical structure of organs surrounding the gastrointestinal tract and precise positioning. Therefore, it will contribute to the establishment of next-generation industrial standards for EUS instruments. Ultrasonic robot will be the future of EUS. Conflicts of interest There are no conflicts of interest."
OpenAlex,W4392932636,10.1109/tro.2024.3378442,,Design and Hierarchical Control of a Homocentric Variable-Stiffness Magnetic Catheter for Multiarm Robotic Ultrasound-Assisted Coronary Intervention,2024,2024-01-01,article,IEEE Transactions on Robotics,41,https://doi.org/10.1109/tro.2024.3378442,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Autonomous magnetic catheterization has become a promising technology for next-generation minimally invasive cardiovascular surgery. In this paper, a novel homocentric variable-stiffness magnetic robotic catheter (HVS-MRC) is presented. This device is controlled by a multi-arm robot-assisted catheterization system for use in radiation-free coronary ultrasound intervention. The uniqueness of the HVS-MRC is the generation of variable stiffness through the telescopic motion of three homocentric components with embedded internal magnets. These components can be used to achieve multiple curvatures and large deflections ($&gt;$120 degrees) under a magnetic wrench provided by an external mobile magnet module (EMMM) to adapt to the complex coronary environment. The variable-stiffness kinematics modeling, multivessel selection strategy, and preoperative surgical planning of the proposed magnetic robotic catheter are established. Meanwhile, an extracorporeal mobile ultrasound module (EMUM) is adopted to intraoperatively localize the catheter's in-plane motion with a dominant visual/force feedback controller. A hierarchical relative control scheme is proposed based on the relative Jacobian method to synchronize the motions of the multi-arm robot-assisted catheterization system. The overall performance is evaluated with anin vitrohuman-sized coronary arterial phantom with challenging anatomical variabilities. The results reveal that the HVS-MRC exhibits a high-accuracy intervention performance (average error of 1.52$ \pm$0.35 mm) with smoother steering compared with conventional catheters. High synchronization with a low ultrasound target loss rate (15.8%) and constant-force tracing (2.50$\pm$1.02 N) of the multi-arm robot-assisted catheterization system demonstrate promising application potential in radiation-free autonomous ultrasonographic coronary intervention operations."
OpenAlex; Europe PMC,W2012763872; MED:19428068,10.1016/j.urology.2008.08.498,19428068,Hybrid Laparoscopic and Robotic Ultrasound-guided Radiofrequency Ablation-assisted Clampless Partial Nephrectomy,2009,2009-05-10,article,Urology,28,https://doi.org/10.1016/j.urology.2008.08.498,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Introduction</h4>To describe a clampless approach made possible by creating an avascular plane of tissue with radiofrequency ablation. Laparoscopic partial nephrectomy is slowly gaining acceptance as a method to treat small (<4 cm) and select moderate (<7 cm) renal masses. The intricacies of laparoscopic suturing, which result in prolonged warm ischemia times, have delayed the widespread acceptance of this technique among urologists. Laparoscopic suturing to close the collecting system was done using the da Vinci robot.<h4>Technical considerations</h4>An avascular plane of tissue from coagulation necrosis was achieved with the Habib 4X radiofrequency ablation device and the Rita 1500X generator. Typically, we used a power setting of 50 W but have found settings as low as 25 W necessary to provide hemostasis for larger vessels. The tumor was then sharply excised with a negative margin using robotic scissors and electrocautery to facilitate tissue cutting. Retrograde injection of methylthioninium chloride and saline through an externalized ureteral catheter allowed for precise sutured closure of the collecting system. FloSeal and BioGlue were then applied, making surgical bolsters or parenchymal sutures unnecessary. Intraoperative histologic evaluation of the surgical margin and repeat resection of the tumor bed was possible because the renal hilum was not clamped, and no warm ischemia was used.<h4>Conclusions</h4>This technique, which combines the improving technologies of robotic surgery, intraoperative laparoscopic ultrasonography, and radiofrequency ablation, might make more surgeons comfortable with the intricacies of laparoscopic suturing and eliminate prolonged warm ischemia times. Overall, this method should result in more patients being able to undergo minimally invasive laparoscopic partial nephrectomy."
OpenAlex,W4407392146,10.3390/technologies13020070,,Automatic Robotic Ultrasound for 3D Musculoskeletal Reconstruction: A Comprehensive Framework,2025,2025-02-08,article,Technologies,18,https://doi.org/10.3390/technologies13020070,A1; A4,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"Musculoskeletal ultrasound (US) imaging faces challenges such as operator experience, limited spatial flexibility, and high personnel costs. This study introduces an Automated Robotic Ultrasound Scanning (ARUS) system that integrates key technological advancements to automate the ultrasound scanning procedure with the robot, including anatomical target localization, automatic trajectory generation, deep-learning-based segmentation, and 3D reconstruction of musculoskeletal structures. The ARUS system consists of a robotic arm, ultrasound imaging, and stereo vision for precise anatomical area detection. A Graphical User Interface (GUI) facilitates a flexible selection of scanning trajectories, improving user interaction and enabling customized US scans. To handle complex and dynamic curvatures on the skin, together with anatomical area detection, the system employs a hybrid position–force control strategy based on the generated trajectory, ensuring stability and accuracy. Additionally, the utilized RA-UNet model offers multi-label segmentation on the bone and muscle tissues simultaneously, which incorporates residual blocks and attention mechanisms to enhance segmentation accuracy and robustness. A custom musculoskeletal phantom was used for validation. Compared to the reference 3D reconstruction result derived from the MRI scan, ARUS achieved a 3D reconstruction root mean square error (RMSE) of 1.22 mm, with a mean error of 0.94 mm and a standard deviation of 0.77 mm. The ARUS system extends 3D musculoskeletal imaging capacity by enabling both bones and muscles to be segmented and reconstructed into 3D shapes in real time and simultaneously. These features suggest significant potential as a cost-effective and reliable option for musculoskeletal examination and diagnosis in real-time applications."
OpenAlex,W4298197250; W3201252943,10.1109/access.2022.3165936,,Follow the Curve: Robotic Ultrasound Navigation With Learning-Based Localization of Spinous Processes for Scoliosis Assessment,2022,2022-01-01,article,IEEE Access,28,https://doi.org/10.1109/access.2022.3165936,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"The scoliosis progression in adolescents requires close monitoring to timely take treatment measures. Ultrasound imaging is a radiation-free alternative in scoliosis assessment to X-ray, which is typically used in clinical practice. However, ultrasound images are prone to speckle noise, making it challenging for sonographers to detect bony features and follow the spinal curvature. This study introduces a novel robotic ultrasound approach for spinous process localization and automatic spinal curvature tracking for scoliosis assessment. The positions of the spinous processes are computed using a fully connected network with a deconvolutional head. A 5-fold cross-validation was performed on a dataset of ultrasound images from 25 human subjects with scoliosis. The resulting percentage of correct keypoints of the spinous process is 0.966±0.027 with a mean distance error of 1.0±0.99 mm. We use this machine learning-based method to guide the motion of the robot-held ultrasound probe and to follow the spinal curvature while capturing ultrasound images. We present a new force-driven controller that automatically adjusts the pose and orientation of the probe relative to the skin surface, which ensures a good acoustic coupling between the probe and skin. We extended the network architecture to additionally perform classification of the spine into its regions, i.e., sacrum, lumbar, and thoracic, which are used to adjust the probe’s orientation to account for the varying curvature along the spine. After the autonomous scanning, the acquired data is used to reconstruct the coronal spinal image, where the deformity of the scoliosis spine can be assessed and measured. The proposed learning-based method for anatomical landmarks localization was compared to conventional methods based on phase symmetry and image intensity. The learning-based method proved to be more precise for spinous process localization while processing images at a faster rate, which is advantageous for real-time scoliosis scanning. To evaluate the performance of our robotic method, we conducted an experimental study with human scoliosis subjects where deviations of the spinous process from the image center can be compared to those appearing in a manual scan. Our results show that the robotic approach reduces the mean error of spinal curvature following for mild scoliosis from 4.6±4.6mm (manual scanning) to 1.0±0.8mm (robotic scanning); For moderate scoliosis from 4.3±3.9mm (manual scanning) to 2.8±1.8mm (robotic scanning). The angles of spinal deformity measured on spinal reconstruction images were similar for both methods, implying that they equally reflect human anatomy. The spinal region-specific moment-based probe orientation control showed to improve the scanning performance. An ablation study was performed to investigate the importance of each component of the proposed system."
OpenAlex,W4210703720; W4226269459,10.1109/lra.2022.3146542,,RSV: Robotic Sonography for Thyroid Volumetry,2022,2022-01-27,article,IEEE Robotics and Automation Letters,30,https://doi.org/10.1109/lra.2022.3146542,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"In nuclear medicine, radioiodine therapy is prescribed to treat diseases like hyperthyroidism. The calculation of the prescribed dose depends, amongst other factors, on the thyroid volume. This is currently estimated using conventional 2D ultrasound imaging. However, this modality is inherently user-dependant, resulting in high variability in volume estimations. To increase reproducibility and consistency, we uniquely combine a neural network-based segmentation with an automatic robotic ultrasound scanning for thyroid volumetry. The robotic acquisition is achieved by using a 6 DoF robotic arm with an attached ultrasound probe. Its movement is based on an online segmentation of each thyroid lobe and the appearance of the US image. During post-processing, the US images are segmented to obtain a volume estimation. In an ablation study, we demonstrated the superiority of the motion guidance algorithms for the robot arm movement compared to a naive linear motion executed by the robot in terms of volumetric accuracy. In a user study on a phantom, we compared conventional 2D ultrasound measurements with our robotic system. The mean volume measurement error of ultrasound expert users could be significantly decreased from$20.85\pm 16.10\%$to only$8.23\pm 3.10\%$compared to the ground truth. This tendency was observed even more in non-expert users where the mean error improvement with the robotic system was measured to be as high as 85% which clearly shows the advantages of the robotic support."
OpenAlex; Europe PMC,MED:36159101; W4285385385,10.5662/wjm.v12.i4.274,36159101,Robotic ultrasound: An initial feasibility study,2022,2022-07-14,article,World Journal of Methodology,11,https://doi.org/10.5662/wjm.v12.i4.274,A1,A1,True,,A,Active observational sensing,主动观察式检测,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),"<h4>Background</h4>Performing ultrasound during the current pandemic time is quite challenging. To reduce the chances of cross-infection and keep healthcare workers safe, a robotic ultrasound system was developed, which can be controlled remotely. It will also pave way for broadening the reach of ultrasound in remote distant rural areas as well.<h4>Aim</h4>To assess the feasibility of a robotic system in performing abdominal ultrasound and compare it with the conventional ultrasound system.<h4>Methods</h4>A total of 21 healthy volunteers were recruited. Ultrasound was performed in two settings, using the robotic arm and conventional hand-held procedure. Images acquired were analyzed by separate radiologists.<h4>Results</h4>Our study showed that the robotic arm model was feasible, and the results varied based on the organ imaged. The liver images showed no significant difference. For other organs, the need for repeat imaging was higher in the robotic arm, which could be attributed to the radiologist's learning curve and ability to control the haptic device. The doctor and volunteer surveys also showed significant comfort with acceptance of the technology and they expressed their desire to use it in the future.<h4>Conclusion</h4>This study shows that robotic ultrasound is feasible and is the need of the hour during the pandemic."
